,Multiband_period,g-W2,r-W2,g-r_max_corr,g-W3,g-r_mean,g-r_max,GP_DRW_tau_1,g-r_mean_corr,IAR_phi_1,Amplitude_1,ExcessVar_1,delta_mag_fid_1,Meanvariance_1,r-W3,Std_1,GP_DRW_sigma_1,GP_DRW_tau_2,PercentAmplitude_1,W1-W2,W2-W3,SF_ML_amplitude_1,SPM_A_1,Gskew_1,Q31_1,Autocor_length_1,IAR_phi_2,SF_ML_gamma_1,Amplitude_2,delta_mag_fid_2,classALeRCE
2813,15.060234439598204,3.2357468846790454,2.4446143852848827,0.8719268915197134,4.539746884679047,1.0958792272240243,1.1644763946533203,1.545149471516995,0.7911324993941644,0.5241292598971828,0.2322702372049648,8.388688512295055e-05,0.4744521121246237,0.0092132802895319,3.7486143852848848,0.1511968108091107,0.0220279417608736,0.3381335957934435,0.024796727123859,-0.0400000000000009,1.304000000000002,0.2008570217187704,0.1926438360289272,0.3431348535745329,0.2121670220841203,1.0,0.0033470142926919,0.015108099759236,0.2646215732596229,0.5292431465192458,Periodic-Other
2814,1.2141812107930976,3.877161105740568,2.809204243157652,0.9958289660375677,4.039161105740568,0.7859303307911709,0.8647994995117188,0.1602931315813602,1.0679568625829106,7.39100748336622e-06,0.2131336493256608,0.0001213183835379,0.4262672986513216,0.0110390796115689,2.9712042431576524,0.1679172184306712,0.0280366075491669,0.1556416114960032,0.0163007538198789,0.0069999999999978,0.1620000000000008,0.3704488006501323,0.944711329352142,0.0691900076757221,0.3380652549439809,1.0,1.3089383570697327e-05,0.2619906373508228,0.1832443680216772,0.3664887360433545,Periodic-Other
2815,1.1145784075253302,4.445149383299061,3.228712128777336,1.20836385271814,4.887149383299061,0.9292320812449724,1.311685562133789,0.9165031937327536,1.2164372545217257,0.3200751929523743,0.1763875659648661,5.423941925440994e-05,0.3527751319297323,0.0075406375498986,3.670712128777336,0.1310498664250032,0.0148803375137129,1.0035543147702757,0.0166661980739384,0.0399999999999991,0.4420000000000001,0.2524891797782025,0.1277498645560168,-0.2286440476958376,0.264814048434463,1.0,0.3684117416895705,0.1639870533607759,0.1563657616403038,0.314390703886616,Periodic-Other
2816,312.50018979346964,5.203335867218545,3.7458320254635744,1.4587667627383567,6.846335867218546,1.324231392297989,1.649187088012695,136.34852834046404,1.4575038417549706,0.9940175489124988,0.3732631712223053,0.0001881866520378,0.7465263424446107,0.0139915447934362,5.388832025463575,0.2609610012436133,0.0650297922662592,213.50136812557,0.031620878276772,0.0799999999999983,1.643000000000001,15.0,0.0723723369341199,0.4268001654158979,0.0749048730247068,2.0,0.993289936660329,3.0,0.3852994430738583,0.8076787933083907,Periodic-Other
2817,0.1892075260342234,2.420260416083561,1.8296635520304847,0.5688958099085433,2.7022604160835613,0.6607207971460696,1.054499626159668,0.0371837526751033,0.5905968640530759,6.505838954827553e-13,0.3003224438921865,0.0001981351399349,0.6451481009650255,0.0141043058291565,2.1116635520304854,0.2134441331007108,0.0451254312946882,0.0697853468763108,0.0339975082271869,-0.0159999999999982,0.282,0.3218780835993145,1.6038603102355191,0.371631660367985,0.3863351917426882,1.0,0.009990794241933,0.0242010068025026,0.359956683289492,0.8801460326502362,Periodic-Other
2818,0.0781665113016408,1.9840025085308604,1.604551280898919,0.2593330206411153,1.9040025085308605,0.4116005973210406,0.3755779266357422,0.4513135479538957,0.3794512276319413,0.1076523533671875,0.1557282688005026,6.238599185099708e-05,0.3114565376010052,0.0079146264332873,1.524551280898919,0.1077655733697247,0.0115798547569416,0.1873495460527124,0.0183698766719777,-0.0240000000000009,-0.08,1.7740587629228313,4.9032952873205256,-0.1906999283882626,0.0486577177910163,1.0,3.0430128180875587e-06,1.3035109261381608,0.0664703188310689,0.1329406376621378,Periodic-Other
2819,15.797794227127914,5.217121659077337,3.7621163083870073,1.422750875134117,5.515121659077336,1.1672702441139826,1.094320297241211,18.12445078221712,1.4550053506903282,0.9090296710771454,0.1370661892806275,1.4261673968939954e-05,0.2789974096328862,0.0039621768540041,4.0601163083870055,0.0664026039310355,0.0077835225455159,10.05447043070259,0.0126823158466064,0.0630000000000006,0.2979999999999982,0.0387605256879004,0.2032816047589676,-0.1426332146640234,0.0473132848707251,1.0,0.9107142498244528,-0.1661576242137946,0.1123083360611882,0.2333792850972767,Periodic-Other
2820,16.863413337273474,4.73284080015101,3.531858546442651,1.0537544923431454,4.558840800151009,1.568780758164145,1.4218063354492188,0.2383099636478526,1.2009822537083592,0.02017725228851,0.1795605445378978,3.93805819519783e-05,0.3591210890757956,0.0064257964494659,3.3578585464426496,0.1055362579002049,0.0108242543045154,0.1854267267109097,0.0174138043590624,0.0170000000000012,-0.1740000000000012,0.0919313492470592,0.3696758982421885,-0.21397158855126,0.100287951597469,1.0,1.670489672356672e-05,-0.0713746393415162,0.084810738035161,0.169621476070322,Periodic-Other
2821,1.1600927426093874,5.088893298471392,3.654318269847858,1.349351036534964,5.463893298471392,0.8713585102196895,0.9699440002441406,34.21397166736025,1.4345750286235344,0.972212245818598,0.1623798197399004,4.64486973494208e-05,0.3247596394798009,0.0069102956021675,4.029318269847858,0.1184831910556611,0.0147116665267573,3.3783491981621414,0.0151124008173638,0.0779999999999994,0.375,0.0926370248650418,0.11570905465507,-0.1947280710681624,0.1577369711912197,2.0,0.6040311509493891,0.1234925064897579,0.1109764479433632,0.2219528958867265,Periodic-Other
2822,0.0539322144088614,2.868231706004533,2.2319702727063504,0.5682463755332083,3.0222317060045327,0.4275815327962213,0.0246429443359375,0.4193332430057707,0.6362614332981789,0.1938590999626805,0.1512240190857987,3.3700880564209134e-05,0.3024480381715975,0.0058531680490935,2.3859702727063503,0.0897070097345898,0.0061534484030638,0.0166088148948612,0.0159311738729037,-0.0080000000000008,0.1539999999999999,0.0494457432415985,0.8331655448109855,-0.187064170790844,0.0456305703493118,3.0,4.23006300668309e-13,0.132255380750708,0.0953355343095321,0.1906710686190642,Periodic-Other
